# Program:featureCounts v2.0.1; Command:"featureCounts" "-s2" "-T" "4" "-a" "annotation/hg38.small.gtf.gz" "-o" "rnaseq_samples/A549_JQ1_6h_2/A549_JQ1_6h_2.featurecounts.txt" "rnaseq_samples/A549_JQ1_6h_2/A549_JQ1_6h_2.small.single.cutadapt.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	rnaseq_samples/A549_JQ1_6h_2/A549_JQ1_6h_2.small.single.cutadapt.sorted.bam
ENSG00000280279.1	chr17;chr17;chr17;chr17;chr17	64099;65830;71366;75814;76723	65736;65887;71556;75878;76866	-;-;-;-;-	2096	102
ENSG00000280136.2	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	88641;97269;98893;101109;102058;105560;106755;118383	88705;97797;98951;101174;102273;105691;106864;118578	-;-;-;-;-;-;-;-	1373	79
ENSG00000277613.1	chr17	90796	90899	-	104	0
ENSG00000268320.3	chr17;chr17;chr17	137526;138203;138910	137645;138402;139067	+;+;+	478	0
ENSG00000272636.3	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	142789;148173;149111;156019;156220;161415;161415;162081;162081;163540;164130;164130;172537;172537;181107;181107	147577;148269;149192;156377;156377;161541;161541;162172;162190;163738;164204;164204;172616;172616;181170;181636	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6448	1
ENSG00000273172.1	chr17;chr17;chr17	183824;187096;191200	184458;187257;191587	-;-;-	1185	0
ENSG00000181031.15	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	212389;212502;212502;213324;213645;213804;213824;214702;215654;215654;215654;215654;215654;215654;215654;215654;219623;219623;219623;219623;219623;219623;219623;219697;234400;247111;247111;247111;247111;247111;247111;247111;247120;247144;247191;247267;247632;261689;281768;281768;281768;281768;281768;281768;281768;281768;281769;281828;306416;319420;319420;319420;319420;319420;319420;319420;319420;319420;319420;319420;319420;319441;319507;319522;321272;321272;321272;321272;321272;321272;321272;321272;321272;321272;321272;321272;321272;321272;321380;327467;327467;327467;327467;327467;327467;327467;327467;327467;327467;327467;327467;327467;327467;327467;330924;333206;333759;333759;333759;333759;333759;335775;338536;338866;339068;339508;341153;348910;349220;352593;352712;352712;352712;352712;352712;386197;386197	213923;213923;213923;213923;213923;213923;213923;214762;215802;215802;215802;215933;215802;215802;215802;215802;219736;219736;219736;219736;219736;219736;219736;219736;234585;247285;247285;247285;247285;247285;247285;247285;247285;247285;247285;247285;247687;261954;281854;281854;281854;281854;281854;281854;281854;281854;281854;281854;306681;319549;319549;319549;319480;319549;319549;319549;319549;319549;319549;319549;319549;319549;319549;319549;321415;321415;321415;321415;321415;321415;321415;321415;321415;321415;321415;321415;321415;321415;321415;327579;327579;327579;327579;327579;327579;327579;327579;327579;327579;327579;327531;327579;327579;327579;331027;333314;333934;333934;333934;333934;334066;336022;338873;339045;339111;339659;341423;349097;349375;352790;352842;352801;352842;352807;353097;386254;386233	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6066	96
ENSG00000262920.5	chr17;chr17;chr17;chr17	321392;321517;322262;322262	321610;321631;322453;322453	+;+;+;+	432	0
ENSG00000262061.5	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	331205;331205;331234;331515;331800;331800;331800;332142;333056;333056;333056	331717;331721;333485;331717;331866;332151;331866;332255;333485;333488;333444	+;+;+;+;+;+;+;+;+;+;+	2284	0
ENSG00000262294.1	chr17;chr17	352638;357059	352862;357581	+;+	748	0
ENSG00000262558.1	chr17;chr17	354737;356703	355469;356882	+;+	913	0
ENSG00000241525.4	chr17;chr17;chr17;chr17;chr17;chr17;chr17	404468;404535;404541;409197;413129;413129;413979	404625;404592;404592;410031;413413;413383;414023	-;-;-;-;-;-;-	1323	0
ENSG00000187624.8	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	410327;410337;410361;413148;413148;413997;414095;414193;420672;420672;422135;423480;423480;431051	410646;410646;410646;414666;413430;414305;414353;414353;420950;421097;422327;423592;423719;431062	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2710	58
ENSG00000183688.4	chr17;chr17	439978;445836	443494;445939	-;-	3621	852
ENSG00000263015.1	chr17;chr17;chr17	503171;508330;511127	503296;508475;511347	+;+;+	493	0
